OrderID,DateID,ProductID,StoreID,CustomerID,QuantityOrdered,OrderedAmount,DiscountAmount,ShippingCost,TotalAmount
1,20221217,591,8,195,14,624,16.0978029349601,44.424061740611336,652.3262588056513
2,20231108,432,43,123,2,521,61.18749169940351,51.21768333564587,511.03019163624236
3,20240210,224,70,198,20,747,94.95548395508936,81.96357196085398,734.0080880057646
4,20201224,882,75,421,9,162,4.769808799286932,17.050112804296095,174.28030400500919
5,20220722,9,65,174,8,482,19.724332329864946,57.31924165588231,519.5949093260174
6,20230609,726,82,617,9,462,48.3208802988145,53.41821978091665,467.0973394821022
7,20200704,31,82,190,9,433,23.171860520531677,22.286111245627737,432.1142507250961
8,20211008,838,93,768,3,189,10.054338642853386,21.238423193155082,200.1840845503017
9,20230116,387,45,690,7,525,60.8190337527886,50.94167977549782,515.1226460227092
10,20210804,534,39,933,18,450,59.875289028424596,60.493381683060626,450.61809265463603
11,20231116,4,40,809,20,869,91.80738443975096,48.885077758771274,826.0776933190202
12,20220621,857,36,762,17,691,30.891415294748555,52.829530835707985,712.9381155409594
13,20230327,49,56,192,18,655,53.13879015154078,90.35377252517189,692.2149823736311
14,20230104,519,98,897,2,376,50.3746246111408,21.071193363024676,346.6965687518839
15,20230222,385,44,468,4,703,40.24773268086175,95.88669761910842,758.6389649382467
16,20201001,639,57,234,10,366,15.641203171497095,46.61058271120289,396.9693795397058
17,20240423,21,4,942,7,888,46.91964909108556,56.8502623435943,897.9306132525087
18,20220505,814,96,85,4,738,38.39555954408474,40.94304890165607,740.5474893575713
19,20240715,311,24,740,7,818,58.751919877988506,95.7611842807211,855.0092644027326
20,20211031,624,34,256,1,288,18.441037929087685,20.033516464841366,289.5924785357537
21,20220301,751,84,462,9,158,11.48668588914837,9.461596671651073,155.97491078250272
22,20220626,641,38,405,8,111,12.502258295056956,7.923501235064428,106.42124294000746
23,20240907,711,14,513,20,920,39.398128294752155,74.52949232790756,955.1313640331554
24,20200206,533,9,64,1,775,62.32214717712642,64.00981976396069,776.6876725868342
25,20241001,262,29,645,6,169,20.306783407093132,12.840370552640977,161.53358714554787
26,20240423,212,63,872,14,864,39.20107222022376,118.4166886536514,943.2156164334276
27,20210626,101,64,240,10,968,61.33862978407027,66.11755691060976,972.7789271265395
28,20210121,16,18,809,2,331,47.7780993320147,36.47544794001917,319.6973486080045
29,20230706,631,34,780,12,124,17.5305387616851,11.99170679479971,118.4611680331146
30,20200521,827,66,500,2,698,51.993886989574065,62.25540188680438,708.2615148972303
31,20220404,809,99,20,6,472,64.18074601183864,58.28619464045958,466.10544862862093
32,20201223,919,69,360,13,557,22.87071279404693,59.8324494230439,593.961736628997
33,20200809,612,87,539,8,808,39.61526987592561,50.88213475007494,819.2668648741493
34,20210524,104,20,630,15,170,13.572512002441615,19.98021154985335,176.40769954741174
35,20200720,83,19,877,14,262,9.818107202702958,34.968655864469945,287.150548661767
36,20200506,659,56,545,19,888,109.92424705032587,57.74904156598903,835.8247945156631
37,20221020,383,1,602,8,562,64.34562371970206,52.308562669600505,549.9629389498984
38,20220707,69,16,980,16,845,70.9622564847272,95.94391635439861,869.9816598696715
39,20210918,207,90,342,18,498,27.246392179947957,64.77530778321236,535.5289156032644
40,20210104,875,4,959,9,104,6.251473365419432,12.591236089598226,110.3397627241788
41,20200713,138,49,32,18,510,59.30485102230094,41.34078997770427,492.03593895540337
42,20240413,156,26,581,19,898,93.2488060727737,67.3563705134274,872.1075644406536
43,20221121,731,90,895,6,663,65.71503864967164,87.83521844579373,685.1201797961221
44,20240128,914,82,542,8,204,24.393792346223574,10.207041115315793,189.81324876909224
45,20210410,851,78,262,15,985,137.20856403120368,93.22534721399838,941.0167831827947
46,20220207,384,31,600,2,195,5.33906296948879,13.343863853201617,203.00480088371282
47,20241002,467,50,499,4,217,24.70167151080873,15.185581775202879,207.48391026439415
48,20230504,957,22,108,20,913,19.417820597864953,58.63526377755716,952.2174431796922
49,20210818,183,10,392,6,914,34.672290820684985,74.69259182085364,954.0203010001686
50,20210204,980,6,209,19,403,21.328077885036624,54.409478817405976,436.0814009323693
51,20221028,157,98,611,15,553,35.4170076767676,60.63595305887926,578.2189453821117
52,20200912,843,32,486,16,289,34.24034632183827,33.51877711998602,288.2784307981477
53,20210412,245,4,444,18,120,8.769528157240506,16.13665233591521,127.36712417867471
54,20210419,681,10,7,13,781,113.17568722309467,59.290978179044046,727.1152909559494
55,20211107,788,86,568,20,286,28.81180301668691,41.98960438683661,299.1778013701497
